City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,side,36.7667,31.3885,16.94,78,78,3.42,TR,1701323540
274,puerto deseado,-47.7503,-65.8938,14.07,47,58,12.9,AR,1701323540
275,susuman,62.7833,148.1667,-25.49,100,99,0.94,RU,1701323540
276,isoka,-10.1606,32.6335,22.53,73,96,0.49,ZM,1701323540
277,timmins,48.4669,-81.3331,-1.1,93,100,3.09,CA,1701323403
278,pandan,14.0453,124.1694,28.2,83,37,6.52,PH,1701323541
279,itoman,26.1247,127.6694,23.43,70,75,9.26,JP,1701323541
280,minas,-34.3759,-55.2377,19.16,95,96,2.07,UY,1701323542
281,terre haute,39.4667,-87.4139,4.15,75,0,2.06,US,1701323327
282,juneau,58.3019,-134.4197,2.0,90,100,2.57,US,1701323494
283,tikapur,28.5,81.1333,26.88,37,9,1.14,NP,1701323542
284,hohhot,40.8106,111.6522,-3.84,33,0,5.0,CN,1701323543
285,itupiranga,-5.1347,-49.3267,25.18,92,4,1.0,BR,1701323543
286,yanbu,24.0891,38.0637,22.02,68,0,1.03,SA,1701323543
287,leava,-14.3,-178.1667,28.38,80,74,9.75,WF,1701323544
288,rio claro,-22.4114,-47.5614,19.74,96,96,1.24,BR,1701323544
289,villa de cos,23.2833,-102.35,13.68,62,15,4.42,MX,1701323544
290,tateyama,34.9833,139.8667,15.39,48,10,8.99,JP,1701323544
291,bayanhongor,46.7167,100.1167,-12.95,52,0,0.45,MN,1701323545
292,padang,-0.9492,100.3543,27.03,91,100,1.7,ID,1701323545
293,kruisfontein,-34.0033,24.7314,18.83,46,53,5.58,ZA,1701323545
294,kapa'a,22.0752,-159.319,22.99,79,40,3.09,US,1701323546
295,lamar,33.6668,-95.5836,13.32,54,100,4.12,US,1701323546
296,kidal,18.4411,1.4078,22.58,15,1,3.91,ML,1701323546
297,jamestown,42.097,-79.2353,1.77,74,100,4.12,US,1701323330
298,al bawiti,28.3492,28.8659,14.76,56,48,1.56,EG,1701323547
299,whakatane,-37.9585,176.9854,19.87,59,47,2.45,NZ,1701323547
300,umuahia,5.5263,7.4896,23.55,94,27,0.91,NG,1701323547
301,cochrane,51.1834,-114.4687,-1.33,58,100,1.54,CA,1701323262
302,egilsstadir,65.2653,-14.3948,0.95,80,75,3.6,IS,1701323548
303,fortaleza,-3.7227,-38.5247,28.93,72,20,4.12,BR,1701323420
304,gisborne,-38.6533,178.0042,18.55,68,49,3.82,NZ,1701323548
305,kingscliff,-28.2667,153.5667,33.89,27,2,5.14,AU,1701323549
306,shimoda,34.6667,138.95,15.2,55,3,13.04,JP,1701323549
307,orumiyeh,37.5527,45.0761,2.75,52,40,2.06,IR,1701323549
308,qala i naw,34.9874,63.1289,10.58,66,37,0.86,AF,1701323550
309,berdigestyakh,62.0989,126.6992,-13.43,91,100,5.68,RU,1701323550
310,dampit,-8.2116,112.7493,27.91,75,65,2.42,ID,1701323550
311,mount gambier,-37.8333,140.7667,19.02,56,5,6.6,AU,1701323551
312,thunder bay,48.4001,-89.3168,-3.05,86,75,3.09,CA,1701323551
313,taoudenni,22.6783,-3.9836,16.93,17,0,2.3,ML,1701323551
314,warren,39.4334,-84.1666,3.49,80,0,3.09,US,1701323551
315,laojunmiao,39.8333,97.7333,1.04,24,0,3.33,CN,1701323551
316,east london,-33.0153,27.9116,19.52,68,0,3.6,ZA,1701323552
317,darhan,49.4867,105.9228,-13.37,79,54,3.55,MN,1701323552
318,zeya,53.75,127.2667,-11.95,48,3,1.47,RU,1701323552
319,dubbo,-32.25,148.6167,26.07,44,40,9.26,AU,1701323552
320,vurpar,46.0,23.4667,-2.44,87,76,1.4,RO,1701323553
321,tofol,5.3248,163.0078,27.93,77,100,5.97,FM,1701323553
322,salaga,8.5508,-0.5188,26.35,72,55,1.98,GH,1701323554
323,arawa,-6.2132,155.5367,28.14,86,97,0.99,PG,1701323554
324,torre de moncorvo,41.1792,-7.0358,13.73,95,100,0.45,PT,1701323554
325,altamira,-3.2033,-52.2064,22.27,91,53,1.22,BR,1701323554
326,sirte,31.2089,16.5887,18.4,63,21,1.59,LY,1701323554
327,anastacio,-20.4836,-55.8069,25.59,68,40,0.94,BR,1701323555
328,bamboo flat,11.7,92.7167,29.05,74,100,3.6,IN,1701323555
329,nogliki,51.8333,143.1667,-12.03,80,76,6.71,RU,1701323555
330,san patricio,28.017,-97.5169,19.91,91,100,5.68,US,1701323555
